district_i,R2 Values
2.0,0.6494253939032651
4.0,0.714440106750345
9.0,0.5491432296154382
12.0,0.6473127518136848
15.0,0.5905679472412406
17.0,0.6098836705132478
31.0,0.4969449602968997
33.0,0.7045953450830296
34.0,0.6955211311508316
38.0,0.6490219398501536
42.0,0.7463184743702636
50.0,0.7568432119849265
53.0,0.4394161166997521
59.0,0.7404036932917359
60.0,0.3575568341864209
61.0,0.7207929247510463
63.0,0.6465930050775939
65.0,0.6638630267183736
70.0,0.5772060933411818
77.0,0.6851340745145185
79.0,0.5609144234040457
81.0,0.6519021703754728
82.0,0.7277746814125887
84.0,0.6419379060529022
86.0,0.6461388458663008
87.0,0.5959456175891717
88.0,0.7099299419766735
96.0,0.7089776417207276
98.0,0.7234092833680599
100.0,0.635228585127313
115.0,0.7110973283352751
120.0,0.6829759778675337
121.0,0.7330710190750238
123.0,0.282634227782679
141.0,0.7372417089196222
160.0,0.7032272541702933
