POLYGON_NM,district_id,inflow,outflow,within,y2014,y2015,y2016,population,i2iflow
GUNGOREN,2,10077,16596,4580,295831087,202434.784,219771768,303371,4993
ATASEHIR,4,38769,24689,15649,1020683299,667875.328,792127528,408986,16282
BEYKOZ,9,6039,12692,4239,198442970,109149.7,152175713,248071,4669
ZEYTINBURNU,12,9234,10115,4754,763769780,442560.754,482404779,287223,5136
CATALCA,15,750,3314,1127,94378144,49286.019,56780671,67843,1330
BEYOGLU,17,45214,13592,4990,958101594,979501.886,1043411910,241520,5428
SILIVRI,31,2775,3104,3808,95954232,78858.769,81703349,161165,4232
BESIKTAS,33,19339,15653,4522,1011783946,969152.305,1111107682,188793,4909
BAKIRKOY,34,49424,13339,12941,850425707,646002.41,737447588,221594,13298
SANCAKTEPE,38,4485,11994,2800,45351288,34655.019,42890004,329788,3018
ESENYURT,42,21434,23848,13196,464158080,389583.418,628548201,686968,14013
KADIKOY,50,48469,36783,23406,2313547433,1875716.713,2142223673,482571,24603
BASAKSEHIR,53,14739,16117,5578,118752316,99798.077,133418430,342422,5884
SARIYER,59,11438,26229,12690,333502213,199795.956,321441902,337681,13456
BUYUKCEKMECE,60,9463,17513,7007,358990168,311621.844,386528311,223324,7615
USKUDAR,61,23851,35682,14663,1155743985,894316.484,1145026249,534970,15448
UMRANIYE,63,41721,36199,28016,1370447874,1567545.62,1718609042,674131,29381
PENDIK,65,24401,13933,12555,656585140,488302.531,524215916,663569,13335
BAYRAMPASA,70,35676,12923,10902,536808563,393742.38,504349153,269809,11407
BAGCILAR,77,20616,21751,9056,505115509,317506.93,397756286,754623,9722
ESENLER,79,4614,14537,3628,236738975,169192.011,232132994,458857,3931
BAHCELIEVLER,81,16538,29410,10709,1006005560,740541.977,822640382,599027,11402
EYUP,82,15290,27126,12312,355923101,361404.931,456583725,367824,12896
FATIH,84,16806,17476,5983,1549783879,1187045.598,1246028020,419266,6610
SULTANGAZI,86,2643,17376,3365,62773841,50770.245,54910051,513022,3865
TUZLA,87,3273,7390,1097,129672623,109287.674,116068679,221620,1363
AVCILAR,88,10522,19058,7897,452179334,330970.019,434905311,417852,8325
KARTAL,96,7633,25919,9650,641361163,490257.009,597485419,450498,10247
SULTANBEYLI,98,2347,5380,2904,34985300,59762.413,69270456,315022,3168
GAZIOSMANPASA,100,17527,29785,10724,406932944,359695.837,381474118,498120,11435
SISLI,115,89980,18901,17695,2253956079,2207749.774,4402840909,272380,18611
BEYLIKDUZU,120,15245,15608,6031,324375132,208961.234,198194074,262473,6301
KUCUKCEKMECE,121,13134,35641,20955,693408227,492612.338,534178747,748398,22004
KAGITHANE,123,28387,32176,16584,1277068776,1207088.13,964471775,432230,17528
CEKMEKOY,141,2817,13916,2449,495380386,433468.953,739701948,220656,2602
MALTEPE,160,22097,31002,17480,923843733,674628.485,861352577,476806,18181
