district_id,",mcc_merged_entropy",",mcc_merged_num_unique",",mcc_merged_total",mcc_detailed_entropy,mcc_detailed_num_unique,mcc_detailed_total
2,2.4478862402877892,20,712,3.4188516158389555,60,712
4,2.577364632398706,21,1570,3.615067968092645,90,1570
9,2.6301945415894026,20,519,3.500270752836716,64,519
12,2.541586317213058,22,707,3.6010869845570204,71,707
15,2.5215526885627275,16,156,3.061414056830208,35,156
17,2.6380734964791936,22,1063,3.504676683423284,76,1063
31,2.573957988388248,17,430,3.3609341734025877,56,430
33,2.4128260551468714,23,1309,3.520351021475207,85,1309
34,2.181676137000966,21,1689,3.3552368869765927,79,1689
38,2.559785107177289,18,496,3.4106039505183112,65,496
42,2.4875030455129705,18,1148,3.4545490138672914,66,1148
50,2.445746715321178,23,2844,3.6416026070037306,91,2844
53,2.4103679959540716,20,865,3.475296114043829,70,865
59,2.45277823589446,19,786,3.391890020037219,73,786
60,2.6322133363655076,21,778,3.556881398662597,76,778
61,2.5113365824922953,21,1399,3.5340659047935254,78,1399
63,2.512193225221487,21,2387,3.5890372022671375,90,2387
65,2.4703573811318473,22,1620,3.573594809931911,81,1620
70,2.4869634798858473,21,1064,3.5273547863261183,73,1064
77,2.5224055176735405,22,1407,3.5643431005979553,80,1407
79,2.4834233703592865,17,508,3.3542322920172687,56,508
81,2.501896287093831,21,1390,3.582231881717812,78,1390
82,2.491032248202066,21,868,3.403691719786822,65,868
84,2.4793269377648337,21,1840,3.644964316644047,78,1840
86,2.4481063373425345,17,471,3.210223651647155,52,471
87,2.56282274854688,19,377,3.2652427055837228,54,377
88,2.528506883096875,21,847,3.5480810876150937,72,847
96,2.6430899956763447,22,970,3.6189226554278138,80,970
98,2.508778742510212,16,481,3.4003257170879717,59,481
100,2.5302592701238367,21,1016,3.3724613801667886,66,1016
115,2.41210487971543,22,2735,3.620685044232839,99,2735
120,2.4036719421535726,19,621,3.478016707122273,66,621
121,2.5532939642249897,19,1483,3.546085422326713,79,1483
123,2.5924162259909176,20,1101,3.658141538082011,86,1101
141,2.6105276173426795,20,343,3.5669187754955534,62,343
160,2.526077517020178,23,1357,3.6178292987456677,82,1357
