GEOID,2016UA,2017UA,2003UA,2004UA,2005UA,2006UA,2007UA,2008UA,2009UA,2010UA,2011UA,2012UA,2013UA,2014UA,2015UA
32003,3.168619538723583,3.1890477506812007,,2.790115199191153,2.909075809163598,3.0344251520707837,3.067424406588424,3.0779247787263633,3.169728002845905,3.2047832768881053,3.210254848117568,3.1999384645855264,3.173991736037522,3.1597500783558647,3.1557554017834013
42125,2.5039130270024423,2.4911516924802273,,,,0.0,0.0,1.7478680974667575,2.150434771230222,2.344719516631952,2.4146508740752575,2.4512948254376217,2.365944305919517,2.3463064017850015,2.4614049010423678
37119,3.2672442210629455,3.2623217583484974,0.0,2.153532456654254,2.935091722809729,3.176514319586713,3.215428271985952,3.233191424916399,3.2710266776034875,3.2703552006287038,3.2751995540267913,3.280264942785572,3.26353016072137,3.2557854221556073,3.2617063891210103
39035,3.1664359910707516,3.1662993131458617,,2.559896372970242,2.737537401814707,2.9647598898668166,3.1215375709737567,3.1628295794696903,3.1406879589908825,3.175688774368218,3.2072948479225856,3.232630847469949,3.2289128213311735,3.1836697826232214,3.158608131526074
37179,2.519530375933521,2.5045050651669483,,,0.0,1.3321790402101223,2.133381930264545,2.24257683460229,2.40721692063628,2.445028312591844,2.5763175666720532,2.6254351979593236,2.6442782532772116,2.526719508675835,2.498649502551942
4013,2.9809185838058205,2.9661485921623423,,2.6946959825220826,2.8885726256064403,2.918844849932042,2.96867502422832,3.0058130503073364,3.0424769809647088,3.048989476417591,3.051507377690398,3.029404704548525,3.009895581982144,3.0065584503579,2.995337378123653
42003,3.129012426594564,3.117610481566347,,2.302759246659362,2.8396053282012277,3.040008171619438,3.2104294062628087,3.2578106958731556,3.2495166238127555,3.314609934578,3.3252812418965485,3.302687325877317,3.246697389583683,3.1820042577191843,3.1497679085306514
17019,3.0183929410763115,2.9862975073001086,1.0114042647073518,2.0272849908524764,2.5519170738614947,2.841022797411725,2.964393868585022,2.9972518807637574,2.9978635350309877,3.041159693751953,3.014301868078805,2.9653196367870445,2.9725551009804474,2.9982168061891543,3.0227711929059717
39153,2.78458005079237,2.792295985942151,,1.5607104090414063,1.4750763110546947,2.159731616075493,2.5192735698884983,2.6058877571778916,2.7319390084504076,2.717025617297734,2.6989990165254025,2.7642458746319587,2.786450959634138,2.7684929524564463,2.76767420492221
37071,2.820872278583886,2.7733261592660163,,,,,2.3700441298612533,2.520455169293535,2.6771072724971643,2.6644494915287393,2.5866831783428412,2.631795471454406,2.6839814968613487,2.7508942569194788,2.845837464731597
39093,2.6276914794398394,2.640588853662834,,0.6931471805599453,1.0986122886681096,1.5498260458782016,2.0000852214906617,2.281756947524792,2.6789943171102957,2.715917331362199,2.749889632112493,2.754008997300833,2.7941032963627905,2.7403641044513383,2.646928563332295
55025,3.203183189442729,3.187077597562844,,2.651354224164665,2.9279177668502903,3.006769840368231,3.1424896765466794,3.228717608714923,3.2819648389024976,3.2673186614108167,3.242190199017301,3.2385721546347566,3.2462392437740393,3.241921338859736,3.221195044116305
37025,2.7941785354941207,2.768500066132344,,,0.0,1.5607104090414063,2.379573790259885,2.580324463970213,2.6052724232657325,2.659178156221824,2.686016525912182,2.6482544674660455,2.6698697714029263,2.750945337311389,2.785905910368786
39133,2.4952016386100215,2.5577281080543326,,,,1.3321790402101223,1.6020559154587264,2.0177173722189474,2.456270449243831,2.7046968876864863,2.693589946809471,2.5841243491595165,2.600595666552496,2.560386563049927,2.4684320931658466
39103,2.8543465614675525,2.7341522069852418,,,,1.5607104090414063,1.5229550675313184,2.037734194785151,2.324263532093947,2.5431550212033254,2.6743430994651383,2.734401447747377,2.76651637375644,2.8897915749099354,2.933124167167355
39085,2.8226760533245856,2.8184433238626383,,,,0.0,1.9264330279775634,2.323782449935666,2.4294523921610107,2.618389744599866,2.680661674103086,2.6167155441362415,2.6130092177034068,2.7015324881787888,2.7747456377510837
42007,1.6259671447059179,1.6404014078201736,,,,,0.6931471805599453,0.9556998911125343,0.9840865030829147,1.1217377772451642,1.2219415987160605,1.6573622185611008,1.6805064270871077,1.8269435593723273,1.7419648625621877
45091,2.4858965479945847,2.454316859146289,,,0.6365141682948128,0.6365141682948128,1.6094379124341005,2.229051241974332,2.5275625654104275,2.7493507843335285,2.8057209674783428,2.76242609681948,2.7149062718332218,2.5389000486447384,2.479919730319077
39055,2.5341803497120634,2.5340763412666045,,,0.6931471805599453,0.8675632284814612,1.5193826646423012,1.825705733341755,2.1440652265099414,2.3435325758192302,2.4836221444430833,2.549632354670382,2.422404899242759,2.4311215127639705,2.515336521623891
42129,2.435345621445798,2.356641749944226,,,,0.0,0.6365141682948128,1.6434177197931796,1.868159511383,2.0882998064325724,2.074794868759295,2.169557866323659,2.189442811923798,2.289490603242503,2.4153458483143417
45057,2.386013359814277,2.314490950430719,,,,,,0.0,1.1490596969706204,1.2385808198466928,2.053143835766482,2.177470973964223,2.29823654779785,2.4640275627679555,2.4595993713391313
4021,1.8088589779172077,1.6877296077005868,,,,,,,0.0,1.0412597335159743,1.8240098976480665,1.9894616254834878,1.873975646422322,1.6486659947381983,1.7200958037659637
36019,1.6170531525095537,1.0397207708399179,,,,,,0.6931471805599453,1.3296613488547582,0.9556998911125343,1.4593594123475304,1.5155540995816876,1.252762968495368,1.5419764327628247,1.767256973589148
17041,1.9823137806899567,1.7233917060220525,,,,,,1.0986122886681096,1.6957425341696344,1.8648907041886054,1.8770405292951153,1.8740996846643398,1.7921046796348241,1.9057971916892478,1.9393061940106833
37109,0.2337916587064593,0.0,,,,,,,,0.6931471805599453,1.0397207708399179,1.0608569471580214,1.0928305535284886,0.5402041423888608,0.22371807606583377
37159,1.6364233796438692,1.4708084763221114,,,,,,,0.0,0.887694275799104,1.0408398374232388,1.457058224557685,1.4586496783662026,1.5274896174173205,1.6219839314506768
17147,1.667651101130402,1.370515174287956,,,,,0.0,1.3862943611198906,1.559581156259877,1.3579778549873243,1.2868726303980162,1.583152680471482,1.7793778057291476,1.7962465145194741,1.781338439187758
55127,,,,,,,,,,0.0,0.0,0.0,,,
42019,0.0,0.0,,,,,,,,,,,,,0.0
42029,2.0203021708403144,1.8030496853801943,,,,0.6365141682948128,1.744791332360629,1.709405232002462,1.9810747802424682,2.02531584694752,1.98373342250475,1.9648865754420712,1.8609626058174578,2.02257712131268,2.102184957187163
24510,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
42091,0.5799151714181009,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.5982695885852573
37021,1.1831757964732201,1.1329015890520355,,,,,,,,0.6365141682948128,0.9592230446324739,1.1163652211942314,1.0023828950048845,0.6903307760633465,1.0248834701853347
21037,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
32005,,,,,,,,,,,,,,0.0,0.0
39131,0.0,0.0,,,,,,,,,0.0,0.0,0.0,,0.0
42081,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0
18097,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0
37081,0.0,0.0,,,,,,,,,,,,0.0,0.0
21089,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
17031,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4007,0.0,,,,,,,,,,,,,0.0,0.0
