,Intercept,log_geo_poi_sum_norm_j,log_geo_poi_diversity_norm_j,log_geo_distance_ij,district_id
0,-2.498001805406602e-16,0.8262284811423284,2.875163916282566,-2.3951642160752256,district_2
0,9.43689570931383e-16,1.746554520289658,8.447681643057132,-1.7528547857805519,district_4
0,2.7755575615628914e-17,1.6156664087662533,5.483014702345002,-1.4922762084922212,district_9
0,1.6653345369377348e-16,0.9333421730484142,4.135995982609514,-2.353229249362303,district_12
0,3.608224830031759e-16,1.3867438401982919,4.133521485525,-2.3876846425732863,district_15
0,4.718447854656915e-16,1.2998564847643643,4.701924557313964,-1.5779606512449786,district_17
0,-3.3306690738754696e-16,0.993882183167484,3.454717838853428,-1.7601216502037986,district_31
0,2.220446049250313e-16,1.2956235861174523,6.371998148385104,-1.2659671589581327,district_33
0,-5.551115123125783e-16,1.5409027919763134,4.188194264732576,-2.0996686669997158,district_34
0,4.3021142204224816e-16,1.8161144495166983,5.83715779133051,-2.3301232264566103,district_38
0,-4.996003610813204e-16,0.45298622802570876,4.32161176110515,-2.5732294548774237,district_42
0,0.0,1.4101524239458698,7.20527044053436,-1.6736116221554898,district_50
0,-1.5265566588595902e-16,0.9447420239680893,3.422125584127951,-1.9430239350399257,district_53
0,6.904199434387692e-16,1.177708118877797,6.049589014491792,-1.5552742482811381,district_59
0,-3.3306690738754696e-16,0.6197573181126336,4.471501951179821,-1.4699676255962868,district_60
0,-4.163336342344337e-16,1.5867371808468609,3.7220109991072805,-1.7662683563958048,district_61
0,7.771561172376096e-16,1.4332279232695613,4.226621056056322,-1.727986758276664,district_63
0,-2.220446049250313e-16,1.34849717882229,6.108028908871431,-2.015650709867255,district_65
0,-9.71445146547012e-17,-0.10074751404263102,4.780815504311829,-2.1027935806665154,district_70
0,-1.0408340855860843e-16,0.8213945482025903,3.1113050495815173,-2.2352984632792046,district_77
0,-4.579669976578771e-16,0.7875713671665687,1.8469763810307145,-2.1440886548541176,district_79
0,2.498001805406602e-16,0.9802931280066804,3.118345460025875,-2.1416578991825777,district_81
0,5.273559366969494e-16,1.2566267512176905,3.9113994354497437,-2.2090555177319495,district_82
0,6.38378239159465e-16,1.0874506758726752,4.259660033609755,-1.6463676444268267,district_84
0,1.042568809062061e-15,1.4043217670221717,3.7947620072515926,-2.403267837648861,district_86
0,-2.220446049250313e-16,1.70677792851845,5.012766883686718,-1.8058983271881806,district_87
0,0.0,0.7145354682106257,3.855857155612594,-2.5892456565336017,district_88
0,-1.6653345369377348e-16,1.4688607350923357,5.959327959497022,-2.1380786162980563,district_96
0,-4.85722573273506e-16,1.0807793583089076,4.976060522889826,-2.6092113764477802,district_98
0,1.4016565685892601e-15,0.7174737178442381,3.7166124455944365,-2.342981868857314,district_100
0,1.3322676295501878e-15,0.986596458847754,6.205563510804242,-1.4010900607340921,district_115
0,5.551115123125783e-16,1.268294722451621,3.0505936221237686,-2.592265329860246,district_120
0,-1.6653345369377348e-16,1.1731746629981292,3.918114770267774,-2.356436775892621,district_121
0,-9.71445146547012e-16,0.46407317959478894,7.038871864243079,-0.9576810853085114,district_123
0,-1.249000902703301e-16,1.590871173768615,4.705080171216176,-2.8666971717073952,district_141
0,-1.6653345369377348e-16,1.7239388391661565,5.092128600599601,-1.6982877012996191,district_160
0,1.1425081559836138e-16,1.1544725078639844,4.653065872880699,-2.010568520404285,average
0,5.551115123125783e-17,1.1183222352722697,4.513880045691075,-2.0141782291824186,global
