,Intercept,log_geo_poi_sum_0_j,log_geo_poi_diversity_0_j,log_geo_distance_ij,district_id,r2
0,-2.498001805406602e-16,0.76484186161305,2.0378871584935414,-2.302005182538904,2,0.6825849222595662
0,9.43689570931383e-16,1.506258220732,6.9181205451076195,-1.6935511622790267,4,0.7838877459441452
0,2.7755575615628914e-17,1.441170270160845,5.077634721358983,-1.335166013114259,9,0.5956954112493986
0,1.6653345369377348e-16,0.7961915450360023,2.9786864940231657,-2.2583083295705944,12,0.6473385158135803
0,3.608224830031759e-16,1.1970781368044339,2.6684019177963263,-2.348894582758619,15,0.566644772754028
0,4.718447854656915e-16,1.1475748712635103,3.76084353289868,-1.4449954838409536,17,0.6198248183193885
0,-3.3306690738754696e-16,0.9262333378365689,2.1633118771663713,-1.9040554406591954,31,0.48753113681303784
0,2.220446049250313e-16,1.1360367594106369,5.146787196740963,-1.0809320603130903,33,0.7314323866337711
0,-5.551115123125783e-16,1.3730173966694863,2.5879858653722874,-2.0641146071385013,34,0.663731691151639
0,4.3021142204224816e-16,1.633419579385388,4.925331184566145,-2.1858017453496377,38,0.6355797184077929
0,-4.996003610813204e-16,0.33505465990417654,3.0511327231980454,-2.6316135475955393,42,0.8140419077844878
0,0.0,1.3190015848211871,5.842506350523097,-1.4546200392226056,50,0.7515565722250238
0,-1.5265566588595902e-16,0.8229661372326214,2.7374948342327907,-1.9858273765561614,53,0.486205101248924
0,6.904199434387692e-16,1.0290266624592896,4.786956044359702,-1.5203702467022193,59,0.7378746252656231
0,-3.3306690738754696e-16,0.5221279507937796,2.9885082503682296,-1.557571521617172,60,0.37851819528664854
0,-4.163336342344337e-16,1.569294572875851,3.380842731606614,-1.5541412486833095,61,0.6498649131392358
0,7.771561172376096e-16,1.3736726134200183,3.5485808123296967,-1.6012520195327264,63,0.5744389871312919
0,-2.220446049250313e-16,1.2634419418960516,4.928590845161157,-1.9213253623838364,65,0.6292971134610019
0,-9.71445146547012e-17,-0.14756238374721797,3.20939981320496,-1.9961271255901492,70,0.669348770426472
0,-1.0408340855860843e-16,0.760647551481971,2.049467988696937,-2.1788778360726546,77,0.71521169740589
0,-4.579669976578771e-16,0.6962694423865282,1.5234390779406004,-2.088747294138031,79,0.6241500835104673
0,2.498001805406602e-16,0.8827014146108306,2.173259356579419,-2.093496369129145,81,0.6485067455164639
0,5.273559366969494e-16,1.1395419778528362,3.0478968413372423,-2.1294904324461483,82,0.7303567812975097
0,6.38378239159465e-16,1.0608916666601051,3.087288811505663,-1.4827261685419646,84,0.6454572879790792
0,1.042568809062061e-15,1.2845074780164636,2.987531331170537,-2.3222011307571595,86,0.6909087464885851
0,-2.220446049250313e-16,1.66595345362408,4.367298733452328,-1.714899962994474,87,0.5622254237598923
0,0.0,0.5902874938744735,2.9109837933342826,-2.622524557981996,88,0.7404864995195891
0,-1.6653345369377348e-16,1.332157967400822,4.900886876187824,-2.01517742429089,96,0.7071950887687319
0,-4.85722573273506e-16,0.9270886795939497,4.207264964315684,-2.5004337269307904,98,0.7238359247996586
0,1.4016565685892601e-15,0.6345806097972633,2.3238040011933694,-2.248684001481112,100,0.6806785096151249
0,1.3322676295501878e-15,0.8624455525550623,5.021220634015139,-1.2291769750158863,115,0.7200491475782818
0,5.551115123125783e-16,1.1524162533011642,2.1480574105360204,-2.6119072497953253,120,0.7244104940242322
0,-1.6653345369377348e-16,1.0354149705191174,3.0014957949236414,-2.362619550851149,121,0.7366790652566582
0,-9.71445146547012e-16,0.31677706653887394,5.499327278869183,-0.9118704217717959,123,0.5817412164061061
0,-1.249000902703301e-16,1.5022839014717726,3.0418716175994494,-2.625432342436765,141,0.7031659678581941
0,-1.6653345369377348e-16,1.6503875735686857,4.1500537928177375,-1.588814255960891,160,0.6719528629957545
0,1.1425081559836138e-16,1.0417555214394911,3.5883375334162064,-1.932437577667852,average,0.6586780235582022
